player_id,full_name,email,date_of_birth,age,nationality,position,secondary_position,club,league,market_value_eur,salary_expectation,contract_status,fitness_level,medical_history,last_5_match_performance,skills_rating,weaknesses,goals,assists,preferred_foot,verified_status,likes_from_pros,scouting_score,tactic_fit_score,career_path_suggestions,training_recommendations,profile_rating,created_at,yellow_cards,red_cards,matches_suspended,last_incident_date
1,Mamadou Diop,mamadou.diop@football.com,2003-01-01,22,senegal,goalkeeper,,Linguère,Nigeria Professional Football League,5000000.0,500000.0,Under Contract,90.86,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 93, 'reflexes': 97, 'positioning': 78}",,0.0,0.0,right,True,399,47.98,90.67,Move to a top European league,Focus on reflexes and distribution,65.12,2025-03-09 18:00:00,6.0,1.0,2.0,2025-02-01
2,Lamin Saidy,lamin.saidy@football.com,2003-03-29,21,gambia,goalkeeper,,Waa Banjul,Nigeria Professional Football League,500000.0,50000.0,Under Contract,94.23,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 83, 'reflexes': 95, 'positioning': 80}",,0.0,0.0,left,True,542,64.61,75.48,Move to a top European league,Focus on reflexes and distribution,88.44,2025-03-09 18:00:00,8.0,2.0,4.0,2025-02-01
3,Issaka Oumarou,issaka.oumarou@football.com,2003-05-13,21,niger,goalkeeper,,Gendarmerie Nationale,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,89.91,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 71, 'reflexes': 90, 'positioning': 71}",,0.0,0.0,left,False,450,54.05,78.8,Move to a top European league,Focus on reflexes and distribution,73.36,2025-03-09 18:00:00,2.0,1.0,2.0,2025-02-01
4,Joao Simbine,joao.simbine@football.com,2003-06-09,21,mozambique,goalkeeper,,Ferroviário de Nampula,Nigeria Professional Football League,3000000.0,300000.0,Under Contract,74.54,Minor injury: Expected recovery in 1-2 weeks,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 96, 'reflexes': 74, 'positioning': 76}",,0.0,0.0,right,False,513,61.26,66.67,Move to a top European league,Focus on reflexes and distribution,83.66,2025-03-09 18:00:00,1.0,3.0,6.0,2025-02-01
5,Diogo Silva,diogo.silva@football.com,2003-06-16,21,portugal,goalkeeper,,Vizela,Nigeria Professional Football League,5000000.0,500000.0,Under Contract,73.1,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 91, 'reflexes': 73, 'positioning': 83}",,0.0,0.0,right,True,485,58.13,60.75,Move to a top European league,Focus on reflexes and distribution,79.19,2025-03-09 18:00:00,5.0,2.0,4.0,2025-02-01
6,Thabo Mokoena,thabo.mokoena@football.com,2004-01-07,21,south africa,goalkeeper,,ORB,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,87.19,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 71, 'reflexes': 92, 'positioning': 81}",,0.0,0.0,right,True,492,58.9,86.65,Move to a top European league,Focus on reflexes and distribution,80.29,2025-03-09 18:00:00,6.0,2.0,4.0,2025-02-01
7,Amenallah Memmiche,amenallah.memmiche@football.com,2004-04-20,20,tunisia,goalkeeper,,Espérance de Tunis,Nigeria Professional Football League,1500000.0,150000.0,Under Contract,82.05,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 79, 'reflexes': 94, 'positioning': 70}",,0.0,0.0,right,False,392,47.76,83.51,Move to a top European league,Focus on reflexes and distribution,63.95,2025-03-09 18:00:00,7.0,1.0,2.0,2025-02-01
8,Godwill Yogusuk,godwill.yogusuk@football.com,2004-06-26,20,south sudan,goalkeeper,,Nyakuron FC,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,82.87,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 88, 'reflexes': 92, 'positioning': 85}",,0.0,0.0,left,False,411,49.92,84.9,Move to a top European league,Focus on reflexes and distribution,67.03,2025-03-09 18:00:00,3.0,2.0,4.0,2025-02-01
9,Derrick Kiggundu,derrick.kiggundu@football.com,2004-07-03,20,uganda,goalkeeper,,Bright Stars FC,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,99.03,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 84, 'reflexes': 83, 'positioning': 78}",,0.0,0.0,right,True,513,61.52,70.2,Move to a top European league,Focus on reflexes and distribution,83.6,2025-03-09 18:00:00,9.0,3.0,6.0,2025-02-01
10,Koffi Kouassi,koffi.kouassi@football.com,2004-09-16,20,ivory coast,goalkeeper,,FC Racine,Nigeria Professional Football League,500000.0,50000.0,Under Contract,91.72,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 98, 'reflexes': 90, 'positioning': 92}",,0.0,1.0,right,True,546,65.38,69.57,Move to a top European league,Focus on reflexes and distribution,89.12,2025-03-09 18:00:00,10.0,2.0,4.0,2025-02-01
11,Lameck Siame,lameck.siame@football.com,2005-03-06,20,zambia,goalkeeper,,ZESCO United,Nigeria Professional Football League,2000000.0,200000.0,Free Agent,82.35,Minor injury: Expected recovery in 1-2 weeks,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 84, 'reflexes': 95, 'positioning': 76}",,0.0,0.0,both,True,416,50.52,93.21,Move to a top European league,Focus on reflexes and distribution,67.88,2025-03-09 18:00:00,9.0,3.0,6.0,2025-02-01
12,Aminu Bala,aminu.bala@football.com,2006-01-10,19,nigeria,goalkeeper,,Water,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,70.57,Minor injury: Expected recovery in 1-2 weeks,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 73, 'reflexes': 90, 'positioning': 87}",,0.0,0.0,right,True,418,51.0,90.45,Move to a top European league,Focus on reflexes and distribution,68.15,2025-03-09 18:00:00,9.0,1.0,2.0,2025-02-01
13,Moussa Ndiaye,moussa.ndiaye@football.com,2006-03-25,18,senegal,goalkeeper,,Génération Foot,Nigeria Professional Football League,5000000.0,500000.0,Under Contract,71.02,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 77, 'reflexes': 81, 'positioning': 84}",,0.0,0.0,right,False,455,55.53,73.47,Move to a top European league,Focus on reflexes and distribution,74.19,2025-03-09 18:00:00,10.0,3.0,6.0,2025-02-01
14,Christ Ngoma,christ.ngoma@football.com,2006-05-18,18,congo,goalkeeper,,CARA Brazzaville,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,90.54,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 84, 'reflexes': 86, 'positioning': 71}",,0.0,1.0,left,True,549,66.26,85.51,Move to a top European league,Focus on reflexes and distribution,89.52,2025-03-09 18:00:00,8.0,2.0,4.0,2025-02-01
15,Yassine El Had,yassine.had@football.com,2006-06-18,18,morocco,goalkeeper,,Mohammed VI Football Academy,Nigeria Professional Football League,1500000.0,150000.0,Free Agent,95.13,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 81, 'reflexes': 72, 'positioning': 76}",,0.0,0.0,left,False,417,51.25,93.13,Move to a top European league,Focus on reflexes and distribution,68.07,2025-03-09 18:00:00,5.0,2.0,4.0,2025-02-01
16,Peter Lado,peter.lado@football.com,2006-08-20,18,south sudan,goalkeeper,,Shamuel,Nigeria Professional Football League,500000.0,50000.0,Under Contract,91.23,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 75, 'reflexes': 83, 'positioning': 92}",,0.0,0.0,right,True,443,54.15,95.55,Move to a top European league,Focus on reflexes and distribution,72.21,2025-03-09 18:00:00,6.0,1.0,2.0,2025-02-01
17,Omar El Idrissi,omar.idrissi@football.com,2006-09-30,18,morocco,goalkeeper,,Al Amal Academy,Nigeria Professional Football League,5000000.0,500000.0,Under Contract,82.18,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 96, 'reflexes': 74, 'positioning': 99}",,0.0,0.0,both,False,532,64.32,60.23,Move to a top European league,Focus on reflexes and distribution,86.74,2025-03-09 18:00:00,9.0,1.0,2.0,2025-02-01
18,John Odhiambo,john.odhiambo@football.com,2006-11-23,18,kenya,goalkeeper,,HB Academy,Nigeria Professional Football League,5000000.0,500000.0,Under Contract,70.93,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 73, 'reflexes': 84, 'positioning': 76}",,0.0,0.0,left,True,368,45.66,92.54,Move to a top European league,Focus on reflexes and distribution,60.09,2025-03-09 18:00:00,3.0,1.0,2.0,2025-02-01
19,James Pantemis,james.pantemis@football.com,2006-11-25,18,canada,goalkeeper,,CF Montréal,Nigeria Professional Football League,500000.0,50000.0,Under Contract,99.02,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 72, 'reflexes': 82, 'positioning': 79}",,0.0,0.0,right,False,375,46.43,74.02,Move to a top European league,Focus on reflexes and distribution,61.19,2025-03-09 18:00:00,1.0,3.0,6.0,2025-02-01
20,Hamisi Mtoni,hamisi.mtoni@football.com,2007-01-01,18,tanzania,goalkeeper,,Hiliwa Academy,Nigeria Professional Football League,1500000.0,150000.0,Under Contract,99.59,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 92, 'reflexes': 71, 'positioning': 81}",,0.0,0.0,left,False,479,58.28,88.74,Move to a top European league,Focus on reflexes and distribution,78.12,2025-03-09 18:00:00,3.0,2.0,4.0,2025-02-01
21,Souleymane Diarra,souleymane.diarra@football.com,2007-03-10,18,mali,goalkeeper,,Yeelen Olympique,Nigeria Professional Football League,3000000.0,300000.0,Under Contract,86.48,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 97, 'reflexes': 93, 'positioning': 97}",,0.0,0.0,right,True,535,64.65,74.86,Move to a top European league,Focus on reflexes and distribution,87.22,2025-03-09 18:00:00,7.0,3.0,6.0,2025-02-01
22,Siyabonga Dladla,siyabonga.dladla@football.com,2007-11-22,17,south africa,goalkeeper,,Cape Town Spurs,Nigeria Professional Football League,500000.0,50000.0,Under Contract,72.12,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 91, 'reflexes': 81, 'positioning': 88}",,0.0,0.0,left,True,412,50.92,84.25,Move to a top European league,Focus on reflexes and distribution,67.17,2025-03-09 18:00:00,5.0,2.0,4.0,2025-02-01
23,Jean Nkuete,jean.nkuete@football.com,2008-07-11,16,cameroon,goalkeeper,,Union Douala,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,86.23,No recent injuries,"{'match_1': {'goals': 0, 'assists': 0}, 'match_2': {'goals': 0, 'assists': 0}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 0, 'assists': 0}, 'match_5': {'goals': 0, 'assists': 0}}","{'handling': 88, 'reflexes': 90, 'positioning': 72}",,0.0,0.0,right,True,454,56.06,85.87,Move to a top European league,Focus on reflexes and distribution,74.09,2025-03-09 18:00:00,10.0,0.0,0.0,2025-02-01
24,Vladyslav Vanat,vladyslav.vanat@football.com,2003-01-05,22,ukraine,forward,midfielder,Dynamo Kyiv,Nigeria Professional Football League,2000000.0,200000.0,Under Contract,96.77,No recent injuries,"{'match_1': {'goals': 1, 'assists': 2}, 'match_2': {'goals': 2, 'assists': 2}, 'match_3': {'goals': 0, 'assists': 0}, 'match_4': {'goals': 1, 'assists': 2}, 'match_5': {'goals': 2, 'assists': 1}}","{'finishing': 65, 'dribbling': 91, 'speed': 61}",,22.0,19.0,right,True,451,53.86,76.2,Move to a top European league,Work on finishing and speed,73.51,2025-03-09 18:00:00,2.0,3.0,6.0,2025-02-01
25,Seifeddine Jaziri,seifeddine.jaziri@football.com,2003-05-22,21,tunisia,forward,midfielder,Club Africain,Nigeria Professional Football League,5000000.0,500000.0,Under Contract,90.4,No recent injuries,"{'match_1': {'goals': 2, 'assists': 1}, 'match_2': {'goals': 2, 'assists': 0}, 'match_3': {'goals': 1, 'assists': 1}, 'match_4': {'goals': 0, 'assists': 1}, 'match_5': {'goals': 0, 'assists': 2}}","{'finishing': 83, 'dribbling': 86, 'speed': 68}",,29.0,1.0,left,False,455,54.63,80.51,Move to a top European league,Work on finishing and speed,74.19,2025-03-09 18:00:00,5.0,0.0,0.0,2025-02-01
