full_name,license_number,region,country,top_clients,verified_status,total_clients,success_rate,avg_contract_value,best_negotiated_contract,preferred_contract_terms,contact_email,phone_number,profile_rating,years_experience,languages_spoken,specialization,last_contract_date,agency_affiliation
Jay Randall,FA3D866574,East Africa,Mozambique,"Kalidou Koulibaly, Édouard Mendy, Yassine Bounou, Aymen Dahmen",True,53,61.99,8981519.91,"EUR 9,011,968.11 - Ali Maâloul",Youth Development Oriented,jay.randall@king.biz,+258735209287,4.54,24,"English, Portuguese","Career Development, Contract Negotiation",2024-05-15,"Smith, Merritt and Gordon"
Jennifer Elliott,FA891EDC45,East Africa,South Sudan,"Karl Toko Ekambi, Edmond Tapsoba",False,89,64.7,14139206.39,"EUR 21,937,684.96 - Sadio Mané",No-trade Clause,jennifer.elliott@mathews.com,+211308949934,4.01,9,"French, English, Swahili, Spanish","Contract Negotiation, International Transfers, Career Development",2025-02-16,Weiss Group
Sarah Wright,FAF1E8980C,Southern Africa,South Africa,"Patson Daka, Vincent Aboubakar",True,50,75.4,7965218.99,"EUR 20,206,986.80 - Edmond Tapsoba",Balanced Terms with Bonuses,sarah.wright@mckay-savage.com,+27808684600,3.69,21,"Arabic, Swahili, English, Portuguese","Career Development, International Transfers, Talent Scouting",2024-07-17,Rodriguez and Sons
Brittany Davidson,FAB264D7BB,Southern Africa,Namibia,"Percy Tau, Riyad Mahrez",True,59,80.31,11929131.68,"EUR 21,624,364.73 - Seifeddine Jaziri",Long-term Development Focus,brittany.davidson@wilson-cox.org,+264811817614,4.76,12,"Swahili, Spanish, English, French","Career Development, Youth Development, Player Marketing",2025-03-06,Bender PLC
James Stone,FAC3A66A4C,West Africa,Cape Verde,"Anis Ben Slimane, Wahbi Khazri, Thomas Partey",False,22,93.0,10012037.13,"EUR 20,562,956.33 - Patson Daka",No-trade Clause,james.stone@reid-hernandez.org,+238018420477,4.74,8,"English, Arabic, French, Portuguese","Youth Development, Talent Scouting, International Transfers",2024-11-29,Jones LLC
Theodore Santos,FA06A6E08C,Southern Africa,South Africa,"Mbwana Samatta, Kalidou Koulibaly",False,96,65.16,13008994.33,"EUR 13,944,077.79 - Edmond Tapsoba",Balanced Terms with Bonuses,theodore.santos@cox.org,+27132871033,4.5,4,"English, French, Swahili, Arabic","Career Development, Talent Scouting",2025-03-09,Mcdonald-Campbell
Jackie White,FA30EA6A4C,Southern Africa,South Africa,"Karl Toko Ekambi, Aymen Dahmen, Aymen Balbouli, Wahbi Khazri",False,13,89.42,4961252.09,"EUR 9,184,764.17 - Percy Tau",Renewal Option at Club’s Discretion,jackie.white@summers.info,+27299750645,4.67,5,"Swahili, Portuguese, Spanish, French","Player Marketing, International Transfers, Contract Negotiation",2025-02-27,"Davis, Armstrong and Gibson"
Lisa Mathis,FA9E0719B4,East Africa,South Sudan,"Édouard Mendy, Victor Osimhen, Aymen Balbouli, Mbwana Samatta",True,72,68.49,1948344.75,"EUR 11,022,607.86 - Victor Osimhen",Renewal Option at Club’s Discretion,lisa.mathis@gardner.com,+211235130583,3.73,17,"Portuguese, Swahili, English","Player Marketing, Career Development, International Transfers",2025-03-09,"Hawkins, Peterson and Allen"
David Horton,FAB285FD62,West Africa,Cape Verde,"Youssef Msakni, Aymen Dahmen, Mbwana Samatta, Édouard Mendy",False,100,97.39,7660213.59,"EUR 14,447,253.25 - Victor Osimhen",Championship Clause Activation,david.horton@sawyer-huff.com,+238047340669,3.51,7,"Arabic, Spanish, Swahili","International Transfers, Youth Development",2024-12-28,"Dennis, Nash and Lawrence"
Tracy Goodwin,FA6FB73500,Central Africa,Cameroon,"Sadio Mané, Vincent Aboubakar, Achraf Hakimi",True,85,77.15,7886373.11,"EUR 17,548,236.77 - Chancel Mbemba",Signing-on Fee Included,tracy.goodwin@collins-daniels.biz,+237649234183,4.97,17,"Spanish, Arabic, Portuguese, Swahili","Contract Negotiation, Player Marketing, Youth Development",2024-05-28,Porter-Mckee
