full_name,license_number,region,country,top_clients,verified_status,total_clients,success_rate,avg_contract_value,best_negotiated_contract,preferred_contract_terms,contact_email,phone_number,profile_rating,years_experience,languages_spoken,specialization,last_contract_date,agency_affiliation
Stacy Juarez,FA2F05F978,West Africa,Niger,"Anis Ben Slimane, Seifeddine Jaziri, Percy Tau",True,34,90.67,10167791.62,"€10,668,389.69 - Percy Tau",Signing-on Fee Included,stacy.juarez@rogers.com,+227293863103,3.69,1,"French, Swahili","Youth Development, Player Marketing, Contract Negotiation",2024-03-16,Calhoun Ltd
Mark Cabrera,FA6F48E675,Southern Africa,Botswana,"Karl Toko Ekambi, Thomas Partey, Inaki Williams, Anis Ben Slimane",True,43,85.84,5598163.94,"€15,027,270.72 - Ali Maâloul",Renewal Option at Club’s Discretion,mark.cabrera@davis-castillo.com,+267971986444,4.19,8,"Swahili, Arabic","Contract Negotiation, Youth Development, International Transfers",2024-08-24,"Harris, Morales and Shaw"
Rebecca Washington,FA4E8AF373,Southern Africa,South Africa,"Yassine Bounou, Karl Toko Ekambi",True,42,88.47,5584916.88,"€9,331,844.50 - Edmond Tapsoba",Youth Development Oriented,rebecca.washington@mcdaniel.info,+27403591680,3.55,24,"French, Portuguese, Spanish","Player Marketing, Youth Development, Contract Negotiation",2024-04-18,Burnett Group
Maria Ochoa,FA51DEDFF9,North Africa,Tunisia,"Aymen Dahmen, Victor Osimhen, Mbwana Samatta",False,16,89.91,3557709.42,"€6,197,538.48 - Thomas Partey",Performance-based + Image Rights,maria.ochoa@hernandez-williams.org,+216331344976,4.72,21,"French, Spanish, Arabic","Career Development, Talent Scouting",2024-10-04,"Vazquez, Spencer and Turner"
Alyssa Miller,FA3A017493,East Africa,Uganda,"Thomas Partey, Anis Ben Slimane, Riyad Mahrez, Chancel Mbemba",False,49,80.4,9235507.52,"€14,159,038.54 - Riyad Mahrez",Loyalty Bonus Included,alyssa.miller@rocha.com,+256217045364,4.27,15,"Spanish, Swahili, Portuguese","Career Development, International Transfers, Player Marketing",2024-07-22,Morales and Sons
Katherine Vaughn,FABF45D183,Central Africa,Angola,"Chancel Mbemba, Thomas Partey",True,99,67.47,14594688.38,"€21,461,561.70 - Karl Toko Ekambi",Loyalty Bonus Included,katherine.vaughn@myers.info,+244894873858,3.73,5,"Swahili, English","Career Development, Talent Scouting",2024-11-28,Smith-Hall
Robert Rogers,FA74946685,North Africa,Libya,"Mbwana Samatta, Mohamed Salah, Riyad Mahrez, Karl Toko Ekambi",False,28,73.98,14733097.26,"€15,813,461.43 - Vincent Aboubakar",Championship Clause Activation,robert.rogers@hill.com,+218798083255,3.94,17,"English, French, Arabic","Talent Scouting, Contract Negotiation",2024-07-08,Morris Inc
Todd Frey,FA31D0BD05,East Africa,Mauritius,"Wahbi Khazri, Anis Ben Slimane, Seifeddine Jaziri",False,75,80.71,10865010.29,"€12,283,892.53 - Mohamed Salah",Market Value Dependent,todd.frey@hernandez.info,+230727579512,3.75,24,"French, English, Portuguese, Spanish","Player Marketing, Youth Development",2024-03-03,Kennedy-Rivas
Edward Richard,FA718453E0,West Africa,Liberia,"Édouard Mendy, Ali Maâloul",True,55,88.8,12997054.22,"€18,979,669.49 - Aymen Balbouli",Loyalty Bonus Included,edward.richard@salinas-richardson.biz,+231729109830,4.64,2,"Arabic, Spanish","Contract Negotiation, Youth Development",2024-04-04,Leon-Chaney
Heather Tucker,FA30AB8C5E,Southern Africa,Namibia,"Kalidou Koulibaly, Inaki Williams",True,32,97.29,5430530.87,"€17,659,977.30 - Vincent Aboubakar",Endorsement Deal Integration,heather.tucker@howell.net,+264791262841,4.88,28,"Spanish, Arabic","International Transfers, Contract Negotiation, Player Marketing",2024-12-15,Howard-Young
